company,title,location,expertise/department,commitment,url,first_seen_at,last_seen_at,is_active
Mercor,Customer Success Engineer (India),India,Software Engineering,full-time,https://work.mercor.com/jobs/list_AAABmHoIAwg4LAWqj_lGQZwG,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Customer Success Engineer (LatAm),Remote,Software Engineering,full-time,https://work.mercor.com/jobs/list_AAABnfiedfZUWZxgc0lLT79a,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Customer Success Engineer (LatAm),South America,Software Engineering,full-time,https://work.mercor.com/jobs/list_AAABliGYkFbpS3MDnVRJD5mI,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Customer success / support operations Evaluator,Remote,Business Operations,hourly,https://work.mercor.com/jobs/list_AAABnp6OYPO3WpUMgelPsqgD,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Cybersecurity / IT GRC Evaluator,Remote,Law,hourly,https://work.mercor.com/jobs/list_AAABnp6Q5PtA5cPYW7lGm5wO,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Cybersecurity Expert,Remote,Data Analysis,part-time,https://work.mercor.com/jobs/list_AAABnk7CbQPVfwUnpLFGiYZX,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Cybersecurity SWE — AI Safety,United States,Software Engineering,part-time,https://work.mercor.com/jobs/list_AAABnr5DNpb2ATXK5h5FeYcl,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Data Engineer (Coding Agent Experience),Remote,Data Analysis,hourly,https://work.mercor.com/jobs/list_AAABnsvgDyKXP3KIBIpCI5F0,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Data Science Experts,Remote,Data Analysis,full-time,https://work.mercor.com/jobs/list_AAABnfRD77wIejDMajtBAqrM,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Data analysis / quantitative readouts Evaluator,Remote,Data Analysis,hourly,https://work.mercor.com/jobs/list_AAABnp6Q1hWaziDGIaxJd5Ul,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Data quality / CRM operations Evaluator,Remote,Business Operations,hourly,https://work.mercor.com/jobs/list_AAABnp6Q8OS8NGqRYMBFxp6w,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
